ZIPA,ZIPN,RUCA2.0,COMMFLAG,STNAME
02156,2156.00,1.00,1.00,Massachusetts
02163,2163.00,1.00,0.00,Massachusetts
02169,2169.00,1.00,0.00,Massachusetts
02170,2170.00,1.00,0.00,Massachusetts
02171,2171.00,1.00,0.00,Massachusetts
02176,2176.00,1.00,0.00,Massachusetts
02180,2180.00,1.00,0.00,Massachusetts
02184,2184.00,1.00,0.00,Massachusetts
02185,2185.00,1.00,1.00,Massachusetts
02186,2186.00,1.00,0.00,Massachusetts
02187,2187.00,1.00,1.00,Massachusetts
02188,2188.00,1.00,0.00,Massachusetts
02189,2189.00,1.00,0.00,Massachusetts
02190,2190.00,1.00,0.00,Massachusetts
02191,2191.00,1.00,0.00,Massachusetts
02196,2196.00,1.00,1.00,Massachusetts
02199,2199.00,1.00,0.00,Massachusetts
02201,2201.00,1.00,1.00,Massachusetts
02203,2203.00,1.00,1.00,Massachusetts
02204,2204.00,1.00,1.00,Massachusetts
02205,2205.00,1.00,1.00,Massachusetts
02206,2206.00,1.00,1.00,Massachusetts
02207,2207.00,1.00,1.00,Massachusetts
02208,2208.00,1.00,1.00,Massachusetts
02209,2209.00,1.00,1.00,Massachusetts
02210,2210.00,1.00,0.00,Massachusetts
02211,2211.00,1.00,1.00,Massachusetts
02212,2212.00,1.00,1.00,Massachusetts
02215,2215.00,1.00,0.00,Massachusetts
